Category	Category_ID	HMM_name	HMM_ID	HMM_desc
TR	PT202	TR-Mu	PT202005	Tail teRminator
TR	PT202	TR-SPO1	PT202006	Tail teRminator
TR	PT202	TR-PB1	PT202007	Tail teRminator
TR	PT202	TR-A118	PT202008	Tail teRminator
TR	PT202	TR-MP22	PT202009	Tail teRminator
TR	PT202	TR-Sfi21	PT202010	Tail teRminator
TR	PT202	TR-Phi297	PT202011	Tail teRminator
TR	PT202	TR-BcepMu	PT202012	Tail teRminator
TR	PT202	TR-D29	PT202013	Tail teRminator
TR	PT202	TR-Giles	PT202014	Tail teRminator
TR	PT202	TR-FL4A	PT202015	Tail teRminator
TR	PT202	TR-FL1A	PT202016	Tail teRminator
TR	PT202	TR-KPP10	PT202017	Tail teRminator
TR	PT202	TR-CD38	PT202018	Tail teRminator
TR	PT202	TR-Mono	PT202019	Tail teRminator
TR	PT202	TR-Nme	PT202020	Tail teRminator
TR	PT202	TR-Curly	PT202021	Tail teRminator
TR	PT202	TR-PY54	PT202022	Tail teRminator
TR	PT202	TR-2389	PT202023	Tail teRminator
TR	PT202	TR-Clost	PT202024	Tail teRminator
TR	PT202	TR-PA6	PT202025	Tail teRminator
TR	PT202	TR-phiHT2	PT202026	Tail teRminator
TR	PT202	TR-PH10	PT202027	Tail teRminator
TR	PT202	TR-B025	PT202028	Tail teRminator
TR	PT202	TR-FL3A	PT202029	Tail teRminator
TR	PT202	TR-Alpha	PT202030	Tail teRminator
TA1	PT203	TA1-Mu	PT203001	Tail Associated 1; unknown function; E. coli phage Mu gp38
TA1	PT203	TA1-MP22	PT203002	Tail Associated 1; unknown function; E. coli phage Mu gp38
TA1	PT203	TA1-BcepMu	PT203003	Tail Associated 1; unknown function; E. coli phage Mu gp38
TS	PT204	TS-P2	PT204001	Tail Sheath
TS	PT204	TS-PB1	PT204002	Tail Sheath
TS	PT204	TS-K139	PT204003	Tail Sheath
TS	PT204	TS-B4	PT204004	Tail Sheath
TT	PT205	TT-T1	PT205001	Tail Tube
TT	PT205	TT-CD27	PT205002	Tail Tube
TT	PT205	TT-K139	PT205003	Tail Tube
TT	PT205	TT-Ent	PT205004	Tail Tube
TT	PT205	TT-Lacp2	PT205005	Tail Tube
TT	PT205	TT-T4	PT205006	Tail Tube
TT	PT205	TT-Sfi21	PT205007	Tail Tube
TT	PT205	TT-SPP1	PT205008	Tail Tube
TT	PT205	TT-P2	PT205009	Tail Tube
TT	PT205	TT-Mu	PT205010	Tail Tube
TT	PT205	TT-A2	PT205011	Tail Tube
TT	PT205	TT-Lam	PT205012	Tail Tube
TT	PT205	TT-B054	PT205013	Tail Tube
TT	PT205	TT-PB1	PT205014	Tail Tube
TT	PT205	TT-Bcep1	PT205015	Tail Tube
TT	PT205	TT-ZF40	PT205016	Tail Tube
TT	PT205	TT-Rcap	PT205017	Tail Tube
TT	PT205	TT-P40	PT205018	Tail Tube
TT	PT205	TT-SuMu	PT205019	Tail Tube
TT	PT205	TT-2389	PT205020	Tail Tube
TT	PT205	TT-GAP32	PT205021	Tail Tube
TT	PT205	TT-HK97	PT205022	Tail Tube
TT	PT205	TT-Che8	PT205023	Tail Tube
TT	PT205	TT-SPO1	PT205024	Tail Tube
TT	PT205	TT-CD38	PT205025	Tail Tube
TT	PT205	TT-KS10	PT205026	Tail Tube
TT	PT205	TT-MP22	PT205027	Tail Tube
TT	PT205	TT-Haem	PT205028	Tail Tube
TT	PT205	TT-M6	PT205029	Tail Tube
TT	PT205	TT-D29	PT205030	Tail Tube
TT	PT205	TT-A118	PT205031	Tail Tube
TT	PT205	TT-Cjw	PT205032	Tail Tube
TT	PT205	TT-P23-45	PT205033	Tail Tube
TT	PT205	TT-Neis	PT205034	Tail Tube
TT	PT205	TT-PH15	PT205035	Tail Tube
TM	PT206	TM-P2	PT206001	Tape Measure
TM	PT206	TM-Lam-1	PT206002	Tape Measure
TM	PT206	TM-Lam-4	PT206003	Tape Measure
TM	PT206	TM-HK97-1	PT206004	Tape Measure
TM	PT206	TM-SM1	PT206005	Tape Measure
TM	PT206	TM-HK97-3	PT206006	Tape Measure
TM	PT206	TM-Lam-4	PT206007	Tape Measure
TM	PT206	TM-HK97-2	PT206008	Tape Measure
TM	PT206	TM-SPP1	PT206009	Tape Measure
TM	PT206	TM-D3	PT206010	Tape Measure
TM	PT206	TM-HK97-4	PT206011	Tape Measure
TM	PT206	TM-Lam-2	PT206012	Tape Measure
TM	PT206	TM-MP22	PT206013	Tape Measure
TM	PT206	TM-phiC2	PT206014	Tape Measure
TM	PT206	TM-SuMu	PT206015	Tape Measure
TAC	PT207	TACN-Lam	PT207001	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-HK97	PT207002	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-SPP1	PT207003	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-D3	PT207004	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-T1	PT207005	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-P2	PT207006	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-SPO1	PT207007	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-PBSX	PT207008	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-A118	PT207009	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-MP22	PT207010	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Rcap	PT207011	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Sfi21	PT207012	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-KPP10	PT207013	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Phi297	PT207014	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-MM1	PT207015	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-D29	PT207016	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-S1249	PT207017	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-K139	PT207018	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-GTA	PT207019	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-SuMu	PT207020	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Ppu	PT207021	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Alpha	PT207022	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Curly	PT207023	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-Bac	PT207024	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-PH10	PT207025	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-PVL	PT207026	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-c5	PT207027	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-PY54	PT207028	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACN-2389	PT207029	Tail Assembly Chaperone N-terminal domain; E. coli phage lambda gpG
TAC	PT207	TACC-Lam	PT207030	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-T1	PT207031	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-TP901	PT207032	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-A118	PT207033	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-D29	PT207034	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-SPP1	PT207035	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-D3	PT207036	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-GTA	PT207037	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-P2	PT207038	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-HK97	PT207039	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-Eco	PT207040	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-Bac	PT207041	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-K139	PT207042	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-PH15	PT207043	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-FL3A	PT207044	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-Gamma	PT207045	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-Lac	PT207046	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
TAC	PT207	TACC-Spn	PT207047	"Tail Assembly Chaperone C-terminal domain; joined to N-terminal domain through translational frameshigt, E. coli phage lambda gpT"
DTN	PT301	DTN-Lam	PT301001	Distal Tail siphophage Gram-Negative; E. coli phage lambda gpM
DTN	PT301	DTN-D3	PT301002	Distal Tail siphophage Gram-Negative; E. coli phage lambda gpM
DTN	PT301	DTN-MP22	PT301003	Distal Tail siphophage Gram-Negative; E. coli phage lambda gpM
DTN	PT301	DTN-GTA	PT301004	Distal Tail siphophage Gram-Negative; E. coli phage lambda gpM
